review_comment_lemmatized_bigram,Sentiment_Category
"'delicious_varied', 'varied_food', 'food_quiet', 'quiet_environment', 'environment_love', 'love_pizza', 'pizza_especially', 'especially_calzone', 'calzone_order', 'order_good', 'good_price', 'price_great', 'great_service', 'service_recommend', 'recommend_100'",Positive
"'dinner_spectacular', 'spectacular_terrace', 'terrace_food', 'food_good', 'good_service', 'service_excellent', 'excellent_friendly'",Positive
"'doubt_5', '5_star', 'star_delicious', 'delicious_pizza', 'pizza_incredible', 'incredible_katupiri', 'katupiri_chicken', 'chicken_cheese', 'cheese_  ', '  _highlight', 'highlight_excellent', 'excellent_quality', 'quality_product', 'product_good', 'good_price', 'price_try', 'try_repeat!!!!!!!!!the', 'repeat!!!!!!!!!the_attention', 'attention_employee', 'employee_good', 'good_ ', ' _.'",Positive
"'drumstick_good', 'good_star', 'star_wonderful', 'wonderful_seasoning', 'seasoning_pizza', 'pizza_consider', 'consider_brazilian', 'brazilian_far', 'far_brazil', 'brazil_quality', 'quality_pasta', 'pasta_craft', 'craft_catupiry', 'catupiry_filling', 'filling_actually', 'actually_come', 'come_thin', 'thin_ricotta', 'ricotta_pepperoni', 'pepperoni_one', 'one_come', 'come_sample', 'sample_pizza', 'pizza_come', 'come_cheese', 'cheese_cover', 'cover_lack', 'lack_main', 'main_ingredient'",Positive
"'eat_pizza', 'pizza_place', 'place_madrid', 'madrid_decoration', 'decoration_stand', 'stand_flavor', 'flavor_opposite', 'opposite_maybe', 'maybe_pass', 'pass_continue', 'continue_sit', 'sit_taste', 'taste_dish', 'dish_undoubtedly', 'undoubtedly_repeat', 'repeat_visit', 'visit_katupiri', 'katupiri_need', 'need_glamor', 'glamor_stand', 'stand_proof', 'proof_simplest', 'simplest_good', 'good_ '",Positive
"'essential_place', 'place_try', 'try_brazilian', 'brazilian_wonder', 'wonder_staff', 'staff_pure', 'pure_love', 'love_attentive', 'attentive_nice', 'nice_place', 'place_care', 'care_have', 'have_good', 'good_atmosphere', 'atmosphere_provide', 'provide_good', 'good_service', 'service_treatment', 'treatment_food', 'food_thank', 'thank_joao', 'joao_experience', 'experience_time', 'time_pleasure', 'pleasure_visit', 'visit_house', 'house_meet', 'meet_staff', 'staff_nice', 'nice_   ', '   _return', 'return_thousand', 'thousand_time', 'time_ ', ' _vegetarian', 'vegetarian_option', 'option_try', 'try_look', 'look_good'",Positive
"'excellent_5', '5_cheese', 'cheese_calzone', 'calzone_pineapple', 'pineapple_juice', 'juice_mint', 'mint_tiramisu'",Positive
"'excellent_attention', 'attention_servicevegetarian', 'servicevegetarian_option', 'option_vegetarian', 'vegetarian_pizza', 'pizza_option', 'option_crispy', 'crispy_thin', 'thin_crust'",Positive
"'excellent_food', 'food_cocktail', 'cocktail_waitress', 'waitress_friendly', 'friendly_girl', 'girl_atmosphere', 'atmosphere_pleasant'",Positive
"'excellent_food', 'food_friendly', 'friendly_people', 'people_food', 'food_site'",Positive
"'excellent_pizza', 'pizza_calzone', 'calzone_dessert'",Positive
"'excellent_pizza', 'pizza_maker', 'maker_exquisite'",Positive
"'excellent_place', 'place_friendly', 'friendly_people', 'people_delicious', 'delicious_food', 'food_wonderful', 'wonderful_atmosphere'",Positive
"'excellent_public', 'public_service', 'service_delicious', 'delicious_food', 'food_highly', 'highly_recommend', 'recommend_place', 'place_pizza', 'pizza_delicious', 'delicious_accept', 'accept_dog'",Positive
"'excellent_service', 'service_speed', 'speed_kindness', 'kindness_recommend', 'recommend_doubt'",Positive
"'excellent_service', 'service_super', 'super_friendly', 'friendly_treatment', 'treatment_spectacular', 'spectacular_food', 'food_good', 'good_quality', 'quality_product', 'product_eggplant', 'eggplant_timbale', 'timbale_bossa', 'bossa_nova', 'nova_pizza', 'pizza_highly', 'highly_recommend'",Positive
"'excellent_site', 'site_excellent', 'excellent_service', 'service_eat', 'eat_pizza', 'pizza_come', 'come_miss', 'miss_specialty', 'specialty_  '",Positive
"'excellent_treatment', 'treatment_pleasant', 'pleasant_atmosphere', 'atmosphere_ ', ' _good', 'good_music', 'music_quiet'",Positive
"'excellent_treatment', 'treatment_pleasant', 'pleasant_atmosphere', 'atmosphere_good', 'good_music', 'music_calm', 'calm_nice', 'nice_evening', 'evening_waiter', 'waiter_super', 'super_friendly', 'friendly_attentive', 'attentive_nice', 'nice_people', 'people_like', 'like_seriously', 'seriously_food', 'food_excellent', 'excellent_tasty', 'tasty_large', 'large_portion', 'portion_load', 'load_pizza', 'pizza_great', 'great_price', 'price_quality', 'quality_definitely', 'definitely_recommend'",Positive
"'exceptional_time', 'time_great', 'great_pizza', 'pizza_great', 'great_beer', 'beer_cibele', 'cibele_return'",Positive
"'exquisite_treatment', 'treatment_excellent', 'excellent_food', 'food_magnificent', 'magnificent_value', 'value_money', 'money_highly', 'highly_recommendedvegetarian', 'recommendedvegetarian_option', 'option_delicious', 'delicious_calzone', 'calzone_pizza'",Positive
"'exquisite_treatment', 'treatment_treat', 'treat_super', 'super_food', 'food_prepare', 'prepare_picaña', 'picaña_tasty', 'tasty_incredible', 'incredible_price', 'price_apart', 'apart_thing', 'thing_menu', 'menu_reminiscent', 'reminiscent_brazil', 'brazil_bring', 'bring_good', 'good_flavor', 'flavor_table', 'table_return', 'return_time'",Positive
"'family_grateful', 'grateful_cancel', 'cancel_reservation', 'reservation_1', '1_hour', 'hour_advance', 'advance_hope'",Positive
"'fantastic_experience', 'experience_weekend', 'weekend_madrid', 'madrid_service', 'service_mistake', 'mistake_smile', 'smile_begin', 'begin_cocktail', 'cocktail_picaña', 'picaña_pizza', 'pizza_dessert', 'dessert_gift', 'gift_chocolate', 'chocolate_recommend', 'recommend_taste', 'taste_perfect', 'perfect_price', 'price_right', 'right_thank', 'thank_entire', 'entire_katupiri', 'katupiri_team'",Positive
"'far_good', 'good_pizza', 'pizza_eat', 'eat_life!you', 'life!you_tell', 'tell_pizza', 'pizza_lot', 'lot_love', 'love_taste', 'taste_simply', 'simply_world', 'world_class', 'class_base', 'base_edge', 'edge_perfect', 'perfect_lot', 'lot_topping', 'topping_pizza', 'pizza_50/50', '50/50_pizza', 'pizza_carbonara', 'carbonara_honolulu', 'honolulu_family', 'family_size', 'size_carbonara', 'carbonara_croccos', 'croccos_regular', 'regular_size', 'size_unforgettable', 'unforgettable_taste!the', 'taste!the_atmosphere', 'atmosphere_nice', 'nice_invite', 'invite_service', 'service_super', 'super_friendly', 'friendly_highly', 'highly_recommend', 'recommend_restaurant', 'restaurant_want', 'want_try', 'try_quality', 'quality_pizza', 'pizza_definitely', 'definitely_come'",Positive
"'food_beer', 'beer_awesome'",Positive
"'food_delicious', 'delicious_staff', 'staff_polite', 'polite_good', 'good_atmosphere'",Positive
"'food_spectacular', 'spectacular_waiter', 'waiter_super', 'super_patient', 'patient_pleasant', 'pleasant_trick', 'trick_pizza', 'pizza_dough'",Positive
"'good_atmosphere', 'atmosphere_attentive', 'attentive_pet', 'pet_friendly'",Positive
"'good_atmosphere', 'atmosphere_good', 'good_food', 'food_5', '5_star'",Positive
"'good_atmosphere', 'atmosphere_incredible', 'incredible_pizza', 'pizza_super', 'super_attentive', 'attentive_time', 'time_highly', 'highly_recommend'",Positive
"'good_brazilian', 'brazilian_pizza', 'pizza_madrid', 'madrid_recommend', 'recommend_make', 'make_reservation', 'reservation_place', 'place_small'",Positive
"'good_brazilian', 'brazilian_spain', 'spain_surplus', 'surplus_pizza', 'pizza_come'",Positive
"'good_cocktail', 'cocktail_madrid', 'madrid_pizza', 'pizza_night', 'night_great', 'great_one', 'one_katupiri'",Positive
"'good_excellent', 'excellent_service'",Positive
"'good_family', 'family_atmosphere', 'atmosphere_food', 'food_exquisite', 'exquisite_try', 'try_good', 'good_highly', 'highly_recommend', 'recommend_give', 'give_4', '4_beer', 'beer_cold'",Positive
'good_food',Positive
"'good_food', 'food_cocktail', 'cocktail_good', 'good_customer', 'customer_service'",Positive
"'good_good', 'good_price'",Positive
"'good_homemade', 'homemade_pizza', 'pizza_good', 'good_picanha'",Positive
"'good_piece!!!parking', 'piece!!!parking_good'",Positive
'good_pizza',Positive
"'good_pizza', 'pizza_10', '10_rate', 'rate_drumsticks!we'",Positive
"'good_pizza', 'pizza_eat', 'eat_friend', 'friend_joão'",Positive
"'good_pizza', 'pizza_eat', 'eat_hug', 'hug_joão'",Positive
"'good_pizza', 'pizza_eat', 'eat_madrid', 'madrid_simple', 'simple_fresh', 'fresh_product', 'product_soft', 'soft_dough', 'dough_nice', 'nice_quiet', 'quiet_place', 'place_excellent', 'excellent_atention', 'atention_cozy', 'cozy_atmosphere', 'atmosphere_brazilian', 'brazilian_music', 'music_great', 'great_serve', 'serve_super', 'super_recommend', 'recommend_true', 'true_cantinho', 'cantinho_brasil', 'brasil_madrid'",Positive
"'good_pizza', 'pizza_eat', 'eat_staff', 'staff_super', 'super_attentive', 'attentive_petfriendly', 'petfriendly_exquisite', 'exquisite_natural', 'natural_juice', 'juice_totally', 'totally_recommend', 'recommend_mandatory', 'mandatory_stop', 'stop_come', 'come_madrid'",Positive
"'good_pizza', 'pizza_family', 'family_atmosphere', 'atmosphere_good', 'good_service'",Positive
"'good_pizza', 'pizza_guacamole', 'guacamole_crispy', 'crispy_chicken', 'chicken_honey', 'honey_mustard', 'mustard_sauce', 'sauce_recommend', 'recommend_success!fast', 'success!fast_friendly', 'friendly_service'",Positive
"'good_pizza', 'pizza_linear', 'linear_city'",Positive
"'good_pizza', 'pizza_neighborhood', 'neighborhood_magnificent', 'magnificent_service', 'service_totally', 'totally_recommend'",Positive
"'good_pizza', 'pizza_owner', 'owner_professional', 'professional_home', 'home_craft', 'craft_beer', 'beer_tap', 'tap_delicious', 'delicious_katupiriu', 'katupiriu_pizza'",Positive
"'good_pizza', 'pizza_seat', 'seat_door', 'door_open', 'open_pretty', 'pretty_cold', 'cold_inside'",Positive
"'good_service', 'service_quiet', 'quiet_pleasant', 'pleasant_place', 'place_friendly', 'friendly_staff', 'staff_delicious', 'delicious_food', 'food_highly', 'highly_recommend'",Positive
"'good_spain', 'spain_   '",Positive
"'good_star', 'star_recommend'",Positive
"'good_surfer', 'surfer_pizza', 'pizza_worth', 'worth_wait', 'wait_ingredient', 'ingredient_cut', 'cut_hand', 'hand_dough', 'dough_knead', 'knead_hand', 'hand_dessert', 'dessert_good', 'good_açai', 'açai_ice', 'ice_cream', 'cream_share', 'share_big', 'big_dessert', 'dessert_highly', 'highly_recommend', 'recommend_good', 'good_place', 'place_eat'",Positive
"'good_treatment', 'treatment_guy', 'guy_serve', 'serve_nice', 'nice_pizza', 'pizza_good'",Positive
"'good_treatment', 'treatment_happy', 'happy_pleasant', 'pleasant_atmosphere', 'atmosphere_employee', 'employee_background', 'background_music', 'music_play', 'play_second', 'second_home', 'home_want', 'want_escape', 'escape_problem', 'problem_restaurant', 'restaurant_good', 'good_pizza', 'pizza_good', 'good_cocktail', 'cocktail_employee', 'employee_treatment', 'treatment_customer', 'customer_excellent', 'excellent_envy', 'envy_large', 'large_chain', 'chain_thank', 'thank_katupiri', 'katupiri_accept', 'accept_support', 'support_need', 'need_today', 'today_thank', 'thank_katupiri', 'katupiri_existence', 'existence_thank', 'thank_read', 'read_joeymaster'",Positive
"'great_atmosphere', 'atmosphere_relax', 'relax_eat', 'eat_quality', 'quality_pizza'",Positive
"'great_pizza', 'pizza_friendly', 'friendly_service'",Positive
"'great_pizza', 'pizza_thin', 'thin_crispy', 'crispy_dough', 'dough_highly', 'highly_recommendedand', 'recommendedand_nice'",Positive
"'great_pizzeria', 'pizzeria_pizza', 'pizza_food', 'food_high', 'high_qualityvery', 'qualityvery_nice', 'nice_small', 'small_place', 'place_decoratedalso', 'decoratedalso_attentive', 'attentive_kind', 'kind_friendly', 'friendly_people', 'people_feelswe', 'feelswe_repeat', 'repeat_time'",Positive
"'great_service', 'service_super', 'super_comfortable', 'comfortable_restaurant', 'restaurant_ambient', 'ambient_music', 'music_cheer', 'cheer_relax', 'relax_coxinha', 'coxinha_super', 'super_crispy', 'crispy_free', 'free_oil', 'oil_guaraná', 'guaraná_slice', 'slice_orange', 'orange_miss', 'miss_pizza', 'pizza_delicious', 'delicious_family', 'family_large'",Positive
"'great_variety', 'variety_pizza', 'pizza_drink', 'drink_delicious', 'delicious_customer', 'customer_service', 'service_friendly', 'friendly_recommend', 'recommend_100'",Positive
"'guy_friendly', 'friendly_food', 'food_delicious', 'delicious_place', 'place_small', 'small_pleasant', 'pleasant_surely', 'surely_summer', 'summer_terrace', 'terrace_great', 'great_look', 'look_forward', 'forward_try', 'try_dish', 'dish_return', 'return_sure'",Positive
"'handsome_chef', 'chef_love', 'love_food', 'food_recommend'",Positive
"'happy_find', 'find_family', 'family_atmosphere', 'atmosphere_brazilian', 'brazilian_madrid', 'madrid_tasty', 'tasty_menu', 'menu_pizza', 'pizza_portion', 'portion_picanha', 'picanha_cassava', 'cassava_delicious', 'delicious_thank', 'thank_welcome', 'welcome_katupiri', 'katupiri_family', 'family_soon'",Positive
"'healthy_gourmet', 'gourmet_pizza', 'pizza_award', 'award_guarantee', 'guarantee_take', 'take_twist', 'twist_introduce', 'introduce_brazilian', 'brazilian_dish', 'dish_yesterday', 'yesterday_eat', 'eat_wonderful', 'wonderful_muqueca', 'muqueca_cook', 'cook_care', 'care_joao', 'joao_team', 'team_delicious', 'delicious_sea', 'sea_bass', 'bass_addition', 'addition_great', 'great_value', 'value_money', 'money_polite', 'polite_close', 'close_treatment', 'treatment_repeat', 'repeat_thank', 'thank_joao', 'joao_co.'",Positive
"'highly_recommend', 'recommend_beautiful', 'beautiful_place', 'place_combination', 'combination_delicious', 'delicious_food', 'food_atmosphere', 'atmosphere_love', 'love_repeat', 'repeat_pizza', 'pizza_katupiri'",Positive
"'homemade_good', 'good_do', 'do_not', 'not_change'",Positive
"'incredible_2', '2_time', 'time_row', 'row_30', '30_minute', 'minute_cancel', 'cancel_reservation', 'reservation_yum', 'yum_call', 'call_yes', 'yes_room', 'room_attention', 'attention_embarrass', 'embarrass_call', 'call_ask', 'ask_girl', 'girl_tell', 'tell_inside', 'inside_outside', 'outside_kindly', 'kindly_ask', 'ask_like', 'like_outside', 'outside_inquire', 'inquire_cover', 'cover_say', 'say_terrace', 'terrace_inside', 'inside_inside', 'inside_ ', ' _.you', '.you_show', 'show_enter', 'enter_restaurant'",Positive
"'incredible_experience', 'experience_wonderful', 'wonderful_food', 'food_service', 'service_   ', '   _highly', 'highly_recommend'",Positive
"'incredible_pizza', 'pizza_super', 'super_friendly', 'friendly_service', 'service_brutal', 'brutal_quality', 'quality_price', 'price_highly', 'highly_recommend'",Positive
"'joao_pizza', 'pizza_master', 'master_true', 'true_dough', 'dough_genius', 'genius_quality', 'quality_pizza', 'pizza_unsurpasse', 'unsurpasse_stay', 'stay_lunch', 'lunch_dinner', 'dinner_feel', 'feel_home', 'home_ask', 'ask_for?parking', 'for?parking_good'",Positive
"'katupiri_discovery', 'discovery_small', 'small_cozy', 'cozy_restaurant', 'restaurant_terrace', 'terrace_good', 'good_pizza', 'pizza_area', 'area_accompany', 'accompany_wide', 'wide_variety', 'variety_fruit', 'fruit_juice', 'juice_brazilian', 'brazilian_music', 'music_background', 'background_professional', 'professional_pleasant', 'pleasant_service', 'service_return', 'return_katupiri!kid', 'katupiri!kid_friendliness', 'friendliness_go', 'go_restaurant', 'restaurant_girl', 'girl_age', 'age_4', '4_6', '6_love', 'love_pizza', 'pizza_juice'",Positive
"'kid_friendliness', 'friendliness_friendly', 'friendly_   ', '   _delicious', 'delicious_food'",Positive
"'know_good', 'good_waitress', 'waitress_friendly', 'friendly_cibele', 'cibele_draft', 'draft_beer', 'beer_draft', 'draft_order', 'order_dinner', 'dinner_bring', 'bring_menu', 'menu_pizza', 'pizza_variety', 'variety_want', 'want_order', 'order_caprese', 'caprese_come', 'come_good', 'good_thing', 'thing_frozen', 'frozen_dough', 'dough_pizza', 'pizza_fry', 'fry_tomato', 'tomato_jar', 'jar_slice', 'slice_cold', 'cold_cheese', 'cheese_basil', 'basil_leave', 'leave_good', 'good_waitress', 'waitress_ask', 'ask_tell', 'tell_bad', 'bad_tell', 'tell_cook', 'cook_make', 'make_like', 'like_brazilian', 'brazilian_style', 'style_know', 'know_style', 'style_certainly', 'certainly_law', 'law_minimum', 'minimum_effort', 'effort_maximum', 'maximum_profitability', 'profitability_like', 'like_badass', 'badass_style', 'style_oh', 'oh_€', '€_9.90', '9.90_pizza'",Positive
"'like_restaurant', 'restaurant_homemade', 'homemade_food', 'food_nice', 'nice_waiter', 'waiter_continue', 'continue_eat', 'eat_dining'",Positive
"'look_brazilian', 'brazilian_pizza', 'pizza_madrid', 'madrid_well', 'well_try', 'try_look', 'look_flavor', 'flavor_famous', 'famous_chicken', 'chicken_catupiri', 'catupiri_pepperoni', 'pepperoni_4', '4_cheese', 'cheese_super', 'super_good', 'good_drumstick', 'drumstick_kit', 'kit_super', 'super_delicious', 'delicious_guy', 'guy_!', '!_               '",Positive
"'love_good', 'good_chicken', 'chicken_pizza', 'pizza_catupiry'",Positive
"'love_place', 'place_spectacular', 'spectacular_pizza', 'pizza_order', 'order_honolulu', 'honolulu_surfista', 'surfista_pasta', 'pasta_carbonara', 'carbonara_excellent', 'excellent_chicken', 'chicken_breast', 'breast_garnish', 'garnish_mu', 'mu_vegetable', 'vegetable_potato', 'potato_dessert', 'dessert_crepe', 'crepe_chocolate', 'chocolate_ball', 'ball_good', 'good_lastly', 'lastly_equally', 'equally_good', 'good_coffee', 'coffee_good', 'good_service', 'service_attentive', 'attentive_girl', 'girl_definitely', 'definitely_return'",Positive
"'love_staff', 'staff_nice', 'nice_treat', 'treat_fun', 'fun_place', 'place_cozy', 'cozy_pizza', 'pizza_long', 'long_delicious', 'delicious_expensive', 'expensive_like', 'like_place', 'place_go', 'go_love', 'love_attention', 'attention_give', 'give_people', 'people_guy', 'guy_make', 'make_pizza', 'pizza_cool'",Positive
"'nice_people', 'people_excellent', 'excellent_treatment', 'treatment_delicious', 'delicious_varied', 'varied_pizza', 'pizza_good', 'good_price.200', 'price.200_recommend'",Positive
"'nice_place', 'place_good', 'good_food', 'food_show', 'show_preparation', 'preparation_local', 'local_attention', 'attention_10', '10_return', 'return_reinforcement'",Positive
"'nice_place', 'place_varied', 'varied_menu', 'menu_small', 'small_cozy', 'cozy_inside', 'inside_5', '5_table', 'table_terrace', 'terrace_pizza', 'pizza_good', 'good_thin', 'thin_soft', 'soft_cheese', 'cheese_order', 'order_pizza', 'pizza_different', 'different_flavor', 'flavor_1', '1_euro', 'euro_fantastic', 'fantastic_idea', 'idea_allow', 'allow_try', 'try_option', 'option_price', 'price_quality', 'quality_good', 'good_friendly', 'friendly_staff'",Positive
"'nice_worker', 'worker_good', 'good_pizza'",Positive
"'niceparke_easy', 'easy_parking'",Positive
"'perfect_good', 'good_chicken', 'chicken_pizza', 'pizza_catupiry', 'catupiry_ '",Positive
"'perfect_pizza', 'pizza_good', 'good_area'",Positive
"'perfect_pizza', 'pizza_place', 'place_food', 'food_cool', 'cool_presentation', 'presentation_waiter', 'waiter_pizza'",Positive
'pizza_delicious',Positive
"'pizza_delicious', 'delicious_friendly', 'friendly_service', 'service_lot', 'lot_outdoor', 'outdoor_seat'",Positive
"'pizza_excellent', 'excellent_waitress', 'waitress_attentive', 'attentive_look', 'look_good', 'good_restaurant', 'restaurant_perfect', 'perfect_quality', 'quality_price', 'price_place'",Positive
"'pizza_great', 'great_charming', 'charming_brazilian', 'brazilian_place', 'place_small', 'small_little', 'little_uncomfortable', 'uncomfortable_well', 'well_terrace', 'terrace_late', 'late_afternoon'",Positive
"'place_enjoy', 'enjoy_fantastic', 'fantastic_pizza', 'pizza_delicious', 'delicious_starter'",Positive
"'place_love', 'love_recommend', 'recommend_truly', 'truly_enjoy', 'enjoy_pizza', 'pizza_good', 'good_service', 'service_letting', 'letting_advise', 'advise_wonderful', ""wonderful_maitre'd"", ""maitre'd_try"", 'try_timbale', 'timbale_success', 'success_tasty', 'tasty_pesto', 'pesto_eggplant', 'eggplant_mozzarella', 'mozzarella_tomato', 'tomato_make', 'make_wonderful', 'wonderful_hot', 'hot_cold', 'cold_contrast', 'contrast_pizza', 'pizza_try', 'try_bossa', 'bossa_nova', 'nova_barbecue', 'barbecue_super', 'super_light', 'light_tasty', 'tasty_dough', 'dough_show', 'show_heavy', 'heavy_return', 'return_sure', 'sure_ask', 'ask_tell', 'tell_place', 'place_try', 'try_good', 'good_pizza', 'pizza_try', 'try_city'",Positive
"'place_small', 'small_room', 'room_2', '2_3', '3_table', 'table_inside', 'inside_noisy', 'noisy_outside', 'outside_4', '4_take', 'take_bring', 'bring_drink', 'drink_food', 'food_despite', 'despite_pizza', 'pizza_good', 'good_maybe', 'maybe_take', 'take_time', 'time_specific', 'specific_reason', 'reason_surely', 'surely_return', 'return_kid', 'kid_friendliness', 'friendliness_good', 'good_child', 'child_go', 'go_group', 'group_child', 'child_adult', 'adult_finish', 'finish_eat', 'eat_child', 'child_play', 'play_street', 'street_street', 'street_busy', 'busy_way', 'way_safe'",Positive
"'pleasant_terrace', 'terrace_pizza', 'pizza_delicious', 'delicious_variety', 'variety_beer', 'beer_price', 'price_average', 'average_vegetarian', 'vegetarian_option', 'option_vegetarian', 'vegetarian_pizza', 'pizza_section'",Positive
"'pleasure_discover', 'discover_katupiri', 'katupiri_pizza', 'pizza_experience', 'experience_exceptional', 'exceptional_captivate', 'captivate_decor', 'decor_delicious', 'delicious_food', 'food_vegetarian', 'vegetarian_option', 'option_impeccable', 'impeccable_lofi', 'lofi_ambient', 'ambient_music', 'music_add', 'add_perfect', 'perfect_touch', 'touch_definitely', 'definitely_discover', 'discover_unique', 'unique_place', 'place_madrid', 'madrid_recommend', 'recommend_visit', 'visit_vegetarian', 'vegetarian_option', 'option_4', '4_vegetarian', 'vegetarian_option', 'option_available'",Positive
